timestamp,time_offset,power_w,gpu_clock_mhz,mem_clock_mhz,util_gpu_pct,util_mem_pct,util_pct,time_interval,energy_j
1773579941.0760572,0.00020933151245117188,37.698,1290,877,0,0,0,0.075,2.82735
1773579941.1529858,0.07713794708251953,114.014,1290,877,0,0,0,0.07692861557006836,8.770939175605774
1773579941.2293296,0.15348172187805176,135.43,1530,877,49,51,49,0.07634377479553223,10.33923742055893
1773579941.3056583,0.22981047630310059,158.41,1530,877,49,51,49,0.07632875442504883,12.091237988471985
1773579941.3819964,0.3061485290527344,141.963,1530,877,76,72,76,0.07633805274963379,10.837178982496262
1773579941.4583294,0.38248157501220703,127.876,1530,877,76,72,76,0.07633304595947266,9.761164585113526
1773579941.5346558,0.45880794525146484,148.96,1530,877,78,74,78,0.07632637023925781,11.369576110839844
1773579941.6110358,0.5351879596710205,135.163,1530,877,78,74,78,0.07638001441955566,10.323751888990403
1773579941.6873791,0.6115312576293945,154.593,1530,877,77,73,77,0.07634329795837402,11.802139461278914
1773579941.763712,0.6878640651702881,134.985,1530,877,77,73,77,0.07633280754089355,10.303784025907518
1773579941.8400865,0.7642385959625244,131.676,1530,877,77,73,77,0.07637453079223633,10.05669271659851
1773579941.9164062,0.8405582904815674,141.571,1530,877,79,75,79,0.07631969451904297,10.804655472755432
1773579941.99271,0.9168622493743896,170.96,1530,877,79,75,79,0.07630395889282227,13.044924812316895
1773579942.0692136,0.9933657646179199,168.638,1530,877,79,75,79,0.07650351524353027,12.901399803638459
1773579942.1456037,1.0697557926177979,145.459,1530,877,79,75,79,0.07639002799987793,11.111617082834243
1773579942.2219865,1.1461386680603027,153.622,1530,877,79,75,79,0.07638287544250488,11.734090091228486
1773579942.2983153,1.2224674224853516,139.14,1530,877,79,75,79,0.07632875442504883,10.620382890701293
1773579942.3746412,1.2987933158874512,155.385,1530,877,77,73,77,0.07632589340209961,11.859898946285247
1773579942.4518542,1.3760063648223877,145.364,1530,877,77,73,77,0.07721304893493652,11.223997645378113
1773579942.528212,1.452364206314087,160.634,1530,877,77,73,77,0.07635784149169922,12.26566551017761
1773579942.6045492,1.5287013053894043,131.762,1530,877,77,73,77,0.07633709907531738,10.058328848361969
1773579942.680893,1.6050450801849365,136.53,1530,877,77,73,77,0.07634377479553223,10.423215572834016
1773579942.7572782,1.6814303398132324,142.449,1530,877,77,73,77,0.0763852596282959,10.881003848791124
1773579942.8336213,1.7577733993530273,140.113,1530,877,77,73,77,0.07634305953979492,10.696655101299285
1773579942.9099658,1.8341178894042969,145.364,1530,877,78,74,78,0.07634449005126953,11.097740451812744
1773579942.9862928,1.910444974899292,146.724,1530,877,78,74,78,0.07632708549499512,11.199015292167664
1773579943.062827,1.9869792461395264,158.86,1530,877,79,75,79,0.07653427124023438,12.158234329223633
1773579943.1391757,2.0633277893066406,151.392,1530,877,79,75,79,0.07634854316711426,11.558558647155762
1773579943.2155144,2.1396665573120117,157.993,1530,877,79,74,79,0.0763387680053711,12.060990973472595
1773579943.2919838,2.2161359786987305,142.355,1530,877,79,74,79,0.07646942138671875,10.885804481506346
1773579943.3683624,2.2925145626068115,161.226,1530,877,79,75,79,0.07637858390808105,12.314213569164275
1773579943.4446664,2.368818521499634,147.307,1530,877,79,75,79,0.07630395889282227,11.240107272624968
1773579943.520999,2.4451510906219482,143.515,1530,877,80,75,80,0.07633256912231445,10.954868657588957
1773579943.5973287,2.5214807987213135,166.47,1530,877,80,75,80,0.07632970809936523,12.70660650730133
1773579943.6743066,2.598458766937256,151.878,1530,877,80,75,80,0.07697796821594238,11.691259856700896
1773579943.7514777,2.6756298542022705,145.849,1530,877,79,75,79,0.07717108726501465,11.25532590651512
1773579943.8278322,2.7519843578338623,138.654,1530,877,79,75,79,0.0763545036315918,10.586857346534728
1773579943.9041567,2.8283088207244873,164.741,1530,877,79,75,79,0.076324462890625,12.573768341064454
1773579943.9804583,2.9046103954315186,147.792,1530,877,79,75,79,0.07630157470703125,11.276762329101564
1773579944.056797,2.9809491634368896,142.543,1530,877,75,71,75,0.0763387680053711,10.881557007789612
1773579944.1333432,3.057495355606079,134.28,1530,877,75,71,75,0.07654619216918945,10.27862268447876
1773579944.2096689,3.1338210105895996,144.392,1530,877,77,73,77,0.07632565498352051,11.020813974380493
1773579944.2859988,3.210150957107544,165.337,1530,877,77,73,77,0.07632994651794434,12.620164367437361
1773579944.3622897,3.2864418029785156,161.12,1530,877,79,75,79,0.07629084587097168,12.291981086730958
