timestamp,time_offset,power_w,gpu_clock_mhz,mem_clock_mhz,util_gpu_pct,util_mem_pct,util_pct
1773842043.1157792,0.0002315044403076172,29.344,630,877,0,0,0
1773842043.1673083,0.05176067352294922,48.307,630,877,16,1,16
1773842043.2186558,0.10310816764831543,48.307,630,877,16,1,16
1773842043.2699413,0.15439367294311523,97.824,630,877,16,1,16
1773842043.3212886,0.20574092864990234,48.794,630,877,100,4,100
1773842043.3725452,0.25699758529663086,77.408,630,877,100,4,100
1773842043.423958,0.3084104061126709,62.867,630,877,100,4,100
1773842043.4752102,0.3596625328063965,48.307,630,877,100,4,100
1773842043.527619,0.41207122802734375,102.617,630,877,100,4,100
1773842043.578981,0.46343326568603516,52.201,630,877,100,4,100
1773842043.6302912,0.5147435665130615,48.307,630,877,100,4,100
1773842043.6815455,0.565997838973999,98.245,630,877,100,5,100
1773842043.732851,0.6173033714294434,49.767,630,877,100,5,100
1773842043.7842221,0.6686744689941406,65.786,630,877,100,5,100
1773842043.835516,0.719968318939209,66.272,630,877,100,6,100
1773842043.888306,0.7727582454681396,48.794,630,877,100,6,100
1773842043.939617,0.8240692615509033,100.674,630,877,100,6,100
1773842043.9912462,0.8756985664367676,53.661,630,877,100,4,100
1773842044.042559,0.927011251449585,48.307,630,877,100,4,100
1773842044.0938249,0.9782772064208984,99.702,630,877,100,4,100
1773842044.1452415,1.029693841934204,49.767,630,877,100,4,100
1773842044.1965256,1.0809779167175293,56.544,630,877,100,4,100
1773842044.2491825,1.1336348056793213,73.082,630,877,100,4,100
1773842044.3004665,1.1849188804626465,48.794,630,877,100,4,100
1773842044.3517296,1.2361819744110107,95.33,630,877,100,4,100
1773842044.4029815,1.2874338626861572,55.608,630,877,100,4,100
1773842044.4542248,1.338677167892456,48.307,630,877,100,4,100
1773842044.5055645,1.390016794204712,100.674,630,877,100,5,100
1773842044.5568647,1.441317081451416,50.254,630,877,100,5,100
1773842044.6097813,1.4942336082458496,47.334,630,877,100,5,100
1773842044.6610968,1.5455491542816162,77.894,630,877,100,6,100
1773842044.7135258,1.597978115081787,49.28,630,877,100,6,100
1773842044.7648234,1.649275779724121,92.416,630,877,100,6,100
1773842044.8161159,1.7005681991577148,56.094,630,877,100,6,100
1773842044.8704622,1.7549145221710205,48.794,630,877,100,4,100
1773842044.9218075,1.8062598705291748,100.674,630,877,100,4,100
1773842044.9745564,1.8590087890625,50.254,630,877,100,4,100
1773842045.0258567,1.910309076309204,45.873,630,877,100,4,100
1773842045.0771067,1.9615590572357178,76.0,630,877,100,4,100
1773842045.1317036,2.016155958175659,48.794,630,877,100,4,100
1773842045.1829886,2.067440986633301,96.788,630,877,100,4,100
1773842045.2343109,2.1187632083892822,55.608,630,877,100,4,100
1773842045.285578,2.170030355453491,48.794,630,877,100,4,100
1773842045.3368556,2.2213079929351807,100.674,630,877,100,5,100
1773842045.3882246,2.272676944732666,50.741,630,877,100,5,100
1773842045.4394813,2.3239336013793945,48.307,630,877,100,5,100
1773842045.4924474,2.3768997192382812,81.297,630,877,100,5,100
1773842045.5437024,2.428154706954956,49.28,630,877,100,5,100
1773842045.5949633,2.4794156551361084,92.477,630,877,100,5,100
1773842045.6462183,2.530670642852783,58.003,630,877,100,5,100
1773842045.697485,2.581937313079834,48.794,630,877,100,4,100
1773842045.7488608,2.6333131790161133,101.645,630,877,100,4,100
1773842045.8001213,2.6845736503601074,51.227,630,877,100,4,100
1773842045.852398,2.7368502616882324,48.307,630,877,100,4,100
1773842045.9037013,2.788153648376465,95.33,630,877,100,4,100
1773842045.9549854,2.83943772315979,49.28,630,877,100,4,100
1773842046.0062838,2.8907361030578613,82.755,630,877,100,4,100
1773842046.0575879,2.942040205001831,61.894,630,877,100,4,100
1773842046.108951,2.993403434753418,48.794,630,877,100,4,100
1773842046.1601973,3.044649600982666,100.674,630,877,100,6,100
1773842046.217116,3.1015684604644775,51.227,630,877,100,6,100
1773842046.2684755,3.152927875518799,48.794,630,877,100,6,100
1773842046.319751,3.2042033672332764,82.269,630,877,100,6,100
1773842046.376591,3.2610433101654053,48.794,630,877,100,5,100
1773842046.4278924,3.312344789505005,93.935,630,877,100,5,100
1773842046.4791317,3.363584041595459,57.555,630,877,100,5,100
1773842046.5304317,3.414884090423584,48.794,630,877,100,4,100
1773842046.5817044,3.4661567211151123,101.16,630,877,100,4,100
1773842046.638889,3.523341417312622,50.254,630,877,100,4,100
1773842046.6901417,3.574594020843506,49.767,630,877,100,4,100
1773842046.7413924,3.625844717025757,74.054,630,877,100,4,100
1773842046.795878,3.680330276489258,48.794,630,877,100,4,100
1773842046.8471458,3.731598138809204,97.273,630,877,100,4,100
1773842046.8984041,3.7828564643859863,55.121,630,877,100,4,100
