timestamp,time_offset,power_w,gpu_clock_mhz,mem_clock_mhz,util_gpu_pct,util_mem_pct,util_pct
1773841599.938831,0.00023484230041503906,25.448,420,877,0,0,0
1773841599.990365,0.05176877975463867,32.753,420,877,0,0,0
1773841600.0418699,0.10327363014221191,31.292,420,877,0,0,0
1773841600.0931778,0.15458154678344727,31.292,420,877,0,0,0
1773841600.145245,0.2066488265991211,31.292,420,877,100,1,100
1773841600.1965277,0.2579314708709717,31.779,420,877,100,1,100
1773841600.247826,0.30922985076904297,45.387,420,877,100,1,100
1773841600.2991168,0.360520601272583,56.094,420,877,100,2,100
1773841600.3529687,0.41437244415283203,39.085,420,877,100,2,100
1773841600.409792,0.47119569778442383,31.779,420,877,100,2,100
1773841600.461045,0.5224487781524658,31.292,420,877,100,3,100
1773841600.5122979,0.5737016201019287,31.292,420,877,100,3,100
1773841600.5659623,0.6273660659790039,31.292,420,877,100,3,100
1773841600.6172235,0.6786272525787354,30.318,420,877,100,0,100
1773841600.6685872,0.7299909591674805,57.555,420,877,100,0,100
1773841600.7198975,0.7813012599945068,53.661,420,877,100,0,100
1773841600.773985,0.8353886604309082,31.779,420,877,100,0,100
1773841600.8267722,0.8881759643554688,31.292,420,877,100,5,100
1773841600.8780622,0.9394659996032715,31.292,420,877,100,5,100
1773841600.9293342,0.9907379150390625,31.779,420,877,100,5,100
1773841600.9806314,1.0420351028442383,31.292,420,877,100,0,100
1773841601.031913,1.0933167934417725,54.148,420,877,100,0,100
1773841601.0832186,1.1446223258972168,54.148,420,877,100,0,100
1773841601.1346374,1.1960411071777344,34.215,420,877,100,5,100
1773841601.1877182,1.249121904373169,31.779,420,877,100,5,100
1773841601.2390022,1.3004059791564941,31.779,420,877,100,5,100
1773841601.290265,1.3516688346862793,31.779,420,877,100,0,100
1773841601.34153,1.4029338359832764,31.292,420,877,100,0,100
1773841601.392769,1.4541728496551514,43.44,420,877,100,0,100
1773841601.4440463,1.5054500102996826,59.015,420,877,100,0,100
1773841601.4960515,1.55745530128479,41.52,420,877,100,4,100
1773841601.554329,1.6157326698303223,31.779,420,877,100,4,100
1773841601.6057525,1.6671562194824219,31.292,420,877,100,4,100
1773841601.6569998,1.7184035778045654,31.292,420,877,100,1,100
1773841601.7090888,1.7704925537109375,31.779,420,877,100,1,100
1773841601.7603579,1.8217616081237793,30.805,420,877,100,1,100
1773841601.8116012,1.8730049133300781,57.068,420,877,100,1,100
1773841601.8628662,1.9242699146270752,52.687,420,877,100,1,100
1773841601.9166224,1.9780261516571045,32.266,420,877,100,1,100
1773841601.9698904,2.031294107437134,31.779,420,877,100,4,100
1773841602.0211453,2.0825490951538086,31.779,420,877,100,4,100
1773841602.0724745,2.133878231048584,31.779,420,877,100,4,100
1773841602.1237903,2.1851940155029297,31.779,420,877,100,0,100
1773841602.1750922,2.2364959716796875,52.201,420,877,100,0,100
1773841602.2263994,2.2878031730651855,54.148,420,877,100,0,100
1773841602.2787094,2.3401131629943848,35.189,420,877,100,0,100
1773841602.3309717,2.3923754692077637,31.779,420,877,100,5,100
1773841602.3823125,2.443716287612915,31.292,420,877,100,5,100
1773841602.4336097,2.495013475418091,31.779,420,877,100,5,100
1773841602.4851274,2.5465312004089355,31.779,420,877,100,0,100
1773841602.536448,2.5978517532348633,40.059,420,877,100,0,100
1773841602.5881085,2.64951229095459,57.555,420,877,100,0,100
1773841602.6394083,2.7008121013641357,43.44,420,877,100,5,100
1773841602.6994305,2.760834217071533,31.779,420,877,100,5,100
1773841602.752256,2.81365966796875,31.779,420,877,100,5,100
1773841602.8035464,2.864950180053711,31.779,420,877,100,1,100
1773841602.8547869,2.9161906242370605,31.292,420,877,100,1,100
1773841602.9060977,2.967501401901245,31.292,420,877,100,1,100
1773841602.9573681,3.0187718868255615,56.581,420,877,100,1,100
1773841603.0090075,3.070411205291748,52.201,420,877,100,2,100
1773841603.0602818,3.12168550491333,32.266,420,877,100,2,100
1773841603.1131132,3.1745169162750244,31.779,420,877,100,2,100
1773841603.164383,3.2257866859436035,31.779,420,877,100,3,100
1773841603.2157576,3.2771613597869873,31.779,420,877,100,3,100
1773841603.2670932,3.3284969329833984,31.779,420,877,100,3,100
1773841603.3183558,3.3797595500946045,51.227,420,877,100,0,100
1773841603.3696527,3.431056499481201,54.148,420,877,100,0,100
1773841603.4213543,3.482758045196533,37.137,420,877,100,0,100
1773841603.4742813,3.5356850624084473,31.779,420,877,100,5,100
