batch_size,decoding_only_ms,decoding_with_prefill_ms,prefill_slowdown_ms
1,107.36024500010899,105.32487299997229,-2.0353720001367037
10,108.23081499984255,106.4229870003146,-1.8078279995279445
20,113.51288900004874,103.7419399999635,-9.770949000085238
30,116.08062499999505,104.27575300036551,-11.80487199962954
40,113.23379399982514,111.27545799990912,-1.9583359999160166
50,113.28168099998948,110.96480700007305,-2.3168739999164245
60,113.61962699993455,110.70261099985146,-2.9170160000830947
70,110.57706799965672,118.47337299968785,7.896305000031134
80,117.06229199990048,114.72238299984383,-2.3399090000566503
90,112.13403099964125,115.75652100009393,3.6224900004526717
100,117.56083899990699,120.00026700025046,2.4394280003434687
110,118.97791100000177,117.01194800025405,-1.9659629997477168
120,119.81265200029156,122.55027699984566,2.7376249995541
