batch_size,decoding_only_ms,decoding_with_prefill_ms,prefill_slowdown_ms
1,26.61837000050582,25.995011000304658,-0.6233590002011624
10,29.836030999831564,63.58020100014983,33.74417000031826
20,26.627543999893533,31.85714199935319,5.229597999459656
30,62.4089789998834,35.573731000113185,-26.835247999770218
40,53.31042900070315,57.180802000402764,3.8703729996996117
50,52.234501000384626,76.97037900015857,24.735877999773948
60,61.632887999621744,98.88428199974442,37.25139400012267
70,58.27182100074424,105.47994799981097,47.208126999066735
80,78.78489500035357,364.64941000031104,285.86451499995746
90,5.498117000570346,5.40723500034801,-0.0908820002223365
100,86.6767779998554,196.15294899995206,109.47617100009666
110,114.18866100029845,111.57466900021973,-2.6139920000787242
120,113.32740299985744,112.29605800053832,-1.031344999319117
