timestamp,time_offset,power_w,gpu_clock_mhz,mem_clock_mhz,util_gpu_pct,util_mem_pct,time_interval,energy_j,phase,event,request_id,ttft_s,total_duration_s,prompt_tokens,output_tokens,input_length,total_energy_j,j_per_output_token
1773753824.9691718,0.0001316070556640625,67.333,1530.0,877.0,90.0,89.02473449707031,0.05,3.36665,prefill,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.020785,0.051744937896728516,247.683,1530.0,877.0,90.0,89.02473449707031,0.05161333084106445,12.783744622707367,prefill,TTFT,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.0720384,0.10299825668334961,197.304,1530.0,877.0,75.0,89.02473449707031,0.051253318786621094,10.112484809875488,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.1233058,0.1542656421661377,190.163,1530.0,877.0,75.0,89.02473449707031,0.051267385482788086,9.749159825563432,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.1745665,0.20552635192871094,186.161,1530.0,877.0,75.0,89.02473449707031,0.05126070976257324,9.542744990110398,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.225868,0.25682783126831055,188.584,1530.0,877.0,94.0,89.02473449707031,0.05130147933959961,9.674638179779054,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.277185,0.30814480781555176,186.769,1530.0,877.0,94.0,89.02473449707031,0.05131697654724121,9.584420392751694,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.32845,0.35940980911254883,188.708,1530.0,877.0,94.0,89.02473449707031,0.05126500129699707,9.674115864753723,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.3812988,0.4122586250305176,183.376,1530.0,877.0,91.0,89.02473449707031,0.05284881591796875,9.691204467773439,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.432558,0.4635179042816162,180.586,1530.0,877.0,91.0,89.02473449707031,0.05125927925109863,9.2567082028389,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.4838204,0.5147802829742432,175.851,1530.0,877.0,91.0,89.02473449707031,0.05126237869262695,9.014540555477142,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.535084,0.5660438537597656,179.131,1530.0,877.0,91.0,89.02473449707031,0.05126357078552246,9.182894698381425,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.5863476,0.6173074245452881,180.832,1530.0,877.0,91.0,89.02473449707031,0.05126357078552246,9.270094032287597,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.6376166,0.6685764789581299,180.467,1530.0,877.0,91.0,89.02473449707031,0.0512690544128418,9.25237244272232,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.6888685,0.7198283672332764,183.86,1530.0,877.0,91.0,89.02473449707031,0.051251888275146484,9.423172178268434,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.7416308,0.7725906372070312,183.012,1530.0,877.0,91.0,89.02473449707031,0.05276226997375488,9.65612855243683,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
1773753825.7928786,0.823838472366333,183.376,1530.0,877.0,91.0,89.02473449707031,0.05124783515930176,9.39762302017212,decode,,req-83acc9b4-15b8-4e1e-a170-7430c3e8d362,0.05571471900020697,3.2297772089996215,545,128,1800,591.6559388071537,4.622312021930888
