phase,frequency_mhz,duration_s,ttft_s,tpot_s,avg_power_w,peak_power_w,total_energy_j,throughput_tps,j_per_token,total_output_tokens,tpj,input_tokens,repeat_count
Prefill,800,3.3668,3.4431,0.0,75.16,128.85,258.4052,0.3,258.4052,1,0.0039,3692
Prefill,850,3.1398,3.2161,0.0,78.4,133.22,252.498,0.32,252.498,1,0.004,3692
Prefill,900,2.9793,3.0554,0.0,82.41,138.08,251.6387,0.34,251.6387,1,0.004,3692
Prefill,950,2.8368,2.913,0.0,90.29,147.31,263.628,0.35,263.628,1,0.0038,3692
Prefill,1000,2.7023,2.7812,0.0,110.22,167.0,307.7445,0.37,307.7445,1,0.0032,3692
Prefill,1050,2.597,2.6775,0.0,146.52,178.16,393.5006,0.39,393.5006,1,0.0025,3692
Prefill,1100,2.437,2.5132,0.0,89.35,105.67,224.4952,0.41,224.4952,1,0.0045,3692
Prefill,1150,2.3644,2.4406,0.0,111.76,198.27,272.8392,0.42,272.8392,1,0.0037,3692
Prefill,1200,2.2951,2.3749,0.0,131.51,216.68,311.6531,0.44,311.6531,1,0.0032,3692
Prefill,1250,2.2094,2.2856,0.0,141.99,231.88,324.4782,0.45,324.4782,1,0.0031,3692
Prefill,1300,2.0736,2.1513,0.0,157.73,253.0,338.3564,0.48,338.3564,1,0.003,3692
